Nombre,Imagen-src,Precio
Camiseta básica lisa,https://cdn.media.amplience.net/i/primark/991075417514_01,"3,00 €"
Camiseta básica de manga larga,https://cdn.media.amplience.net/i/primark/991074078002_01,"5,00 €"
Camiseta básica lisa,https://cdn.media.amplience.net/i/primark/991075417210_01,"3,00 €"
Camiseta térmica cepillada de manga larga,https://cdn.media.amplience.net/i/primark/991037271720_01,"7,00 €"
Camiseta de corte holgado,https://cdn.media.amplience.net/i/primark/991059861804_05,"4,50 €"
Camiseta básica de manga larga,https://cdn.media.amplience.net/i/primark/991074078804_01,"5,00 €"
Pack de 3 camisetas base de cuello redondo,https://cdn.media.amplience.net/i/primark/991072740002_01,"9,00 €"
Camiseta básica lisa,https://cdn.media.amplience.net/i/primark/991075417112_01,"3,00 €"
Camiseta básica lisa,https://cdn.media.amplience.net/i/primark/991075417616_01,"3,00 €"
Camiseta básica lisa,https://cdn.media.amplience.net/i/primark/991075417368_01,"3,00 €"
Pack de 3 camisetas sin mangas,https://cdn.media.amplience.net/i/primark/991072781804_01,"9,00 €"
Camiseta de béisbol de manga larga,https://cdn.media.amplience.net/i/primark/991073861804_01,"8,00 €"
Camiseta lavada de Los Angeles Lakers de la NBA,https://cdn.media.amplience.net/i/primark/991076860706_01,"14,00 €"
Camiseta gráfica de manga corta de Tupac,https://cdn.media.amplience.net/i/primark/991083526716_01,"14,00 €"
Camiseta de cuello redondo y corte recto,https://cdn.media.amplience.net/i/primark/991058687002_01,"3,00 €"
Camiseta con estampado gráfico de Nirvana,https://cdn.media.amplience.net/i/primark/991088319716_01,"14,00 €"
Camiseta de cuello redondo y corte recto,https://cdn.media.amplience.net/i/primark/991058687804_01,"3,00 €"
Camiseta con estampado de Shenron de Dragon Ball Z,https://cdn.media.amplience.net/i/primark/991100277804_01,"8,00 €"
"Camiseta de manga corta de Los Angeles Lakers, NBA",https://cdn.media.amplience.net/i/primark/991086052804_01,"16,00 €"
Camiseta de manga corta de los Chicago Bulls de la NBA,https://cdn.media.amplience.net/i/primark/991085495804_01,"14,00 €"
Camiseta de béisbol de manga larga,https://cdn.media.amplience.net/i/primark/991073861414_01,"8,00 €"
Pack de 2 camisetas deportivas de manga larga,https://cdn.media.amplience.net/i/primark/991072811002_01,"14,00 €"
Pack de 3 camisetas base con cuello de pico,https://cdn.media.amplience.net/i/primark/991072899002_01,"9,00 €"
Camiseta de béisbol de manga larga,https://cdn.media.amplience.net/i/primark/991073861720_01,"8,00 €"
Camiseta de béisbol de manga larga,https://cdn.media.amplience.net/i/primark/991073861352_01,"8,00 €"
Camiseta de Naruto Kakashi,https://cdn.media.amplience.net/i/primark/991085064414_01,"12,00 €"
Camiseta con estampado gráfico «Berlin»,https://cdn.media.amplience.net/i/primark/991078500804_01,"3,50 €"
Pack de 3 camisetas sin mangas de escote amplio,https://cdn.media.amplience.net/i/primark/991073192002_01,"9,00 €"
Camiseta de manga corta UFC,https://cdn.media.amplience.net/i/primark/991086568804_01,"12,00 €"
Camiseta con estampado gráfico de Naruto,https://cdn.media.amplience.net/i/primark/991094341416_01,"8,00 €"
Camiseta «No Mercy» de Cobra Kai,https://cdn.media.amplience.net/i/primark/991088120804_01,"12,00 €"
Camiseta con estampado gráfico de ola japonesa,https://cdn.media.amplience.net/i/primark/991078353002_01,"3,50 €"
Camiseta con estampado gráfico de Naruto,https://cdn.media.amplience.net/i/primark/991086105414_01,"8,00 €"
Camiseta de cuello redondo,https://cdn.media.amplience.net/i/primark/991074300352_01,"4,50 €"
Polo con media cremallera y textura de ochos,https://cdn.media.amplience.net/i/primark/991061414112_01,"14,00 €"
Camiseta de béisbol de manga larga,https://cdn.media.amplience.net/i/primark/991073861210_01,"8,00 €"
Polo con media cremallera y textura de ochos,https://cdn.media.amplience.net/i/primark/991061414002_01,"14,00 €"
Camiseta con estampado de UFC,https://cdn.media.amplience.net/i/primark/991086557706_01,"12,00 €"
Camiseta con estampado The Notorious B.I.G,https://cdn.media.amplience.net/i/primark/991084636804_01,"14,00 €"
Camiseta de manga corta estampada «Arizona»,https://cdn.media.amplience.net/i/primark/991078564528_01,"3,50 €"
Camiseta de manga corta con textura,https://cdn.media.amplience.net/i/primark/991095076804_01,"10,00 €"
Camiseta de manga larga y cuello Henley con textura,https://cdn.media.amplience.net/i/primark/991081732528_01,"12,00 €"
Camiseta del Jutsu Clon de Sombra de Naruto,https://cdn.media.amplience.net/i/primark/991084274208_01,"8,00 €"
Camiseta con estampado gráfico del monte Fuji,https://cdn.media.amplience.net/i/primark/991078284108_01,"3,50 €"
Camiseta de manga larga y cuello Henley con textura,https://cdn.media.amplience.net/i/primark/991081732416_01,"12,00 €"
Camiseta con estampado del Bronx,https://cdn.media.amplience.net/i/primark/991078563804_01,"3,50 €"
Camiseta de cuello redondo y corte recto,https://cdn.media.amplience.net/i/primark/991094046210_01,"3,00 €"
Camiseta con estampado gráfico «Future Projects»,https://cdn.media.amplience.net/i/primark/991083668002_01,"10,00 €"
